ACTIVITY,BP,HR,CIRCLUATION
0,10,119,372
2,100,163,1162
4,36,322,4619
5,78,142,844
2,86,128,693
4,87,388,6290
1,26,85,343
5,46,180,2054
3,88,120,809
0,16,228,2002
3,41,215,2188
2,22,96,804
0,91,482,14635
2,96,33,5
5,36,179,1626
0,30,164,1809
0,72,117,727
5,32,179,1626
0,31,190,1163
3,50,315,5844
3,72,403,6746
3,17,148,729
0,51,291,5842
2,133,205,1751
0,26,249,3794
4,31,156,654
0,23,120,134
2,30,234,2464
0,96,316,4240
0,71,465,13465
0,35,186,1416
3,87,136,619
4,40,156,654
2,71,107,346
4,61,288,2334
3,32,234,1581
3,41,51,132
2,75,104,457
5,41,196,1997
0,150,384,7221
2,54,67,224
5,3,72,340
4,12,79,292
5,35,179,1626
5,46,322,4619
0,35,196,1580
0,94,373,3556
0,10,52,101
0,15,81,203
0,24,131,271
5,114,209,2534
0,58,292,3632
4,59,273,2061
0,18,188,1993
2,34,249,3630
4,16,148,729
4,167,281,4061
0,100,141,970
3,32,322,4619
5,100,209,2534
0,101,270,2264
0,77,255,3294
3,76,142,844
4,71,101,249
4,55,193,2118
3,42,136,619
0,23,188,1991
0,19,137,805
5,6,43,161
0,47,344,5211
3,81,205,1751
0,64,463,7842
4,16,220,3450
3,52,120,809
3,80,388,6290
2,11,79,317
0,87,408,5435
1,6,33,5
2,87,128,693
4,47,93,545
4,17,132,806
4,75,101,249
4,47,262,3211
4,73,101,249
4,43,156,654
0,31,224,2192
4,20,79,292
4,79,388,6290
1,21,85,343
0,19,140,845
4,38,179,1626
3,25,67,224
2,20,54,165
0,55,129,764
0,129,675,24441
0,7,66,245
0,33,296,4067
5,92,320,3466
4,100,158,1403
0,144,266,6967
0,101,174,1165
3,6,63,166
4,28,193,2118
2,42,52,133
2,59,271,4426
5,40,180,2054
0,28,146,1308
5,24,166,1414
2,36,71,249
3,51,315,5844
4,20,102,764
0,20,159,1019
0,67,248,1421
3,57,273,2061
1,36,183,931
3,33,71,249
2,31,40,100
5,39,180,2054
5,9,43,161
3,35,272,3539
5,73,107,346
2,66,449,5537
0,37,315,2910
4,15,132,806
0,19,122,517
2,20,54,165
0,44,106,655
0,174,284,4623
4,86,163,1162
4,15,196,1885
2,73,104,457
4,27,131,271
0,66,294,3380
3,43,264,3217
4,65,254,3885
0,78,403,7345
2,10,79,292
2,22,249,3630
5,80,468,9276
4,33,166,1111
4,153,308,6057
3,47,196,1997
0,7,131,732
3,72,540,8870
0,21,192,1934
4,71,101,249
4,28,174,1415
4,138,217,2904
4,39,132,1513
2,61,315,5844
4,77,176,1922
0,102,359,4922
5,39,180,2054
0,17,98,370
2,92,33,5
0,88,333,8334
3,39,154,587
3,34,234,2464
3,51,254,3885
4,76,176,1922
1,143,247,3373
4,78,176,1922
3,96,158,1403
5,31,179,1626
0,80,504,13141
3,73,403,6746
0,139,663,17345
0,38,308,7443
5,46,202,2258
2,98,130,490
0,125,234,1998
3,38,272,3539
4,18,132,806
3,47,235,4905
3,29,188,2599
0,52,199,1811
3,92,136,619
4,100,163,1162
3,24,109,689
3,83,224,2192
3,49,51,132
3,85,388,6290
3,42,234,2464
3,80,172,973
4,22,194,1521
0,50,275,4708
4,20,102,516
5,74,320,3466
3,63,271,4426
1,21,85,343
4,92,163,1162
0,156,721,28833
0,15,75,367
3,112,537,8350
0,30,245,4335
3,85,176,1922
0,15,175,769
3,94,130,490
3,34,315,5844
4,82,172,973
4,44,67,224
0,38,272,3296
3,53,254,3885
2,126,88,318
5,12,119,395
0,19,119,846
4,59,390,7459
2,20,54,165
3,39,235,4905
4,24,188,2599
3,51,214,1469
0,15,130,519
5,125,171,1747
0,8,61,101
5,28,262,3211
4,47,156,654
0,74,461,9551
3,37,322,4619
4,87,176,1922
0,7,56,183
0,99,266,3891
2,57,223,2059
0,33,208,1362
4,57,322,4619
4,177,362,5847
4,25,193,2118
3,13,109,689
1,150,247,3373
4,66,390,7459
2,36,67,224
1,32,183,931
2,48,93,545
2,21,138,554
4,49,483,15505
0,55,302,5316
4,30,188,2599
3,68,134,970
0,108,715,20635
3,45,272,3539
3,191,308,6057
0,131,179,815
0,39,204,1874
3,8,63,166
3,38,247,2754
2,9,79,317
4,40,156,654
5,97,209,2534
3,32,40,100
0,14,68,87
4,38,156,654
0,36,284,3218
0,28,83,226
0,58,281,4915
3,36,157,1519
0,48,433,8218
1,20,85,343
2,42,52,133
3,72,540,8870
3,49,315,5844
4,22,85,343
0,8,144,1158
4,59,223,2822
0,9,260,2983
4,27,149,549
4,106,537,8350
0,54,135,732
0,52,199,1752
4,55,272,3539
3,13,196,1885
0,16,126,653
4,77,172,973
0,84,225,2747
3,77,145,1156
0,28,106,483
5,87,128,693
0,182,283,3798
4,46,180,2054
3,52,67,224
3,24,220,3450
0,57,250,2827
4,91,388,6290
3,21,220,3450
2,20,54,165
3,45,235,4905
2,92,33,5
0,85,132,730
4,26,102,764
4,34,194,1521
5,160,109,486
0,88,164,2054
4,77,224,2192
3,84,388,6290
5,52,288,2334
5,40,180,2054
3,11,196,1885
0,134,971,31560
3,47,272,3539
3,74,172,973
0,200,249,2983
2,44,235,4905
0,1,58,75
5,44,179,1626
3,17,79,317
3,76,540,8870
3,27,123,621
3,12,188,2599
5,73,107,517
0,80,539,11420
4,30,215,2188
0,35,240,2976
2,131,205,1751
0,27,194,1867
3,59,107,346
0,64,174,1632
0,35,178,812
5,42,67,224
0,45,212,2597
4,105,158,1403
5,86,120,809
5,71,468,9276
3,49,107,346
4,76,163,1162
3,0,40,100
3,52,223,2059
0,13,133,1256
5,119,208,1691
3,73,540,8870
1,148,247,3373
0,11,132,850
0,127,166,770
4,120,171,1747
5,91,171,1747
4,107,209,2534
3,31,247,2754
4,32,188,2599
2,85,120,809
1,14,88,292
0,19,166,1408
0,51,513,9696
2,22,54,165
4,75,172,973
4,52,315,5844
3,69,134,970
3,83,388,6290
4,41,322,4619
2,23,54,165
0,27,123,725
3,93,158,1403
4,25,156,1364
0,112,209,2968
3,90,136,619
0,179,329,4063
3,78,540,8870
0,148,231,697
4,145,540,18067
4,64,134,970
3,67,223,2059
2,42,52,133
0,80,207,2386
5,51,180,2054
4,22,188,2599
2,41,52,133
0,267,276,4157
0,61,323,3135
3,99,205,1751
5,122,171,1747
0,38,231,2606
4,24,174,1415
3,39,272,3539
4,89,136,619
3,179,308,6057
0,36,202,2319
0,102,138,934
0,188,981,31307
2,49,150,519
3,96,388,6290
0,112,208,2392
3,46,483,15505
0,54,329,5117
1,142,247,3373
5,96,33,5
4,32,166,1111
0,16,190,1870
0,8,99,321
0,61,127,653
5,29,215,2394
3,108,537,8350
3,16,166,1111
4,24,132,806
2,20,54,165
3,24,188,2599
3,96,33,5
4,11,79,292
0,43,145,807
0,12,78,149
0,54,308,4248
0,22,212,2122
0,70,125,1062
4,21,102,516
0,97,182,892
0,23,190,2596
0,450,384,9123
4,49,223,2822
0,221,279,4813
3,85,540,8870
0,61,209,1874
0,13,89,246
3,55,390,7459
0,16,138,554
5,70,468,9276
3,43,254,3885
0,11,139,808
2,11,79,317
0,51,294,4060
2,16,79,292
3,75,403,6746
2,92,33,5
3,84,537,8350
1,6,33,5
2,69,473,14125
0,38,184,734
0,17,116,490
3,61,271,4426
4,22,102,764
0,146,341,5529
2,16,138,554
4,24,194,1521
0,16,140,732
3,37,51,132
4,66,224,2192
4,34,132,1513
2,30,234,1581
2,35,156,1364
3,102,537,8350
0,85,272,2828
5,42,264,3217
4,33,196,1997
4,48,93,545
5,27,138,554
2,47,51,132
4,130,208,1691
3,36,247,2754
5,36,131,271
3,6,33,5
2,58,223,2059
3,33,249,3630
4,38,483,15505
3,43,235,4905
5,27,166,1414
0,8,169,892
5,47,262,3211
5,27,102,516
1,8,33,5
4,71,142,844
2,18,79,317
3,61,107,346
2,18,96,804
0,105,387,10383
2,80,449,5537
4,145,540,18067
0,22,122,927
2,98,130,490
3,16,148,729
0,279,152,429
0,48,227,2461
0,85,309,4431
2,18,138,554
4,19,102,764
5,27,166,1414
5,17,216,2677
3,33,315,5844
0,9,81,247
5,73,223,2822
0,76,274,4245
0,72,290,3796
3,40,235,4905
0,77,247,5830
2,76,352,6744
1,19,85,343
0,65,321,6735
3,62,271,4426
4,64,315,5844
5,65,224,2192
4,76,134,970
5,69,107,517
3,86,388,6290
2,50,51,132
0,180,207,1935
2,22,54,165
0,72,238,2609
3,116,205,1751
2,121,205,1751
3,23,157,1519
0,8,76,166
2,27,249,3630
2,94,449,5537
0,66,154,889
0,70,384,15662
4,88,142,844
0,38,233,1998
4,139,540,18067
1,8,33,5
0,50,185,1522
1,22,85,343
4,28,220,3450
0,25,135,585
0,73,411,6075
4,91,540,8870
4,25,174,1415
2,16,79,292
2,75,104,457
5,50,101,270
2,34,234,1581
0,41,71,249
4,70,101,249
3,34,166,1414
3,24,157,1519
4,25,138,554
0,97,390,7575
0,30,118,492
0,68,152,812
3,67,352,6744
2,19,54,165
3,33,166,1414
0,10,114,520
3,57,223,2059
0,7,81,294
2,75,104,457
0,39,195,1164
4,34,156,654
2,8,71,249
3,86,172,973
4,120,540,18067
4,63,104,457
0,67,532,10980
1,20,54,165
0,40,155,659
0,185,319,5113
3,85,128,693
2,96,33,5
5,35,95,427
5,3,43,161
3,179,308,6057
3,55,271,4426
0,90,334,6982
5,55,288,2334
0,19,160,1022
2,77,449,5537
0,89,188,1069
5,45,159,2181
5,73,223,2822
0,108,531,15693
3,17,215,2188
0,287,402,6866
4,70,101,249
0,40,174,1164
5,29,123,621
3,28,215,2188
4,20,102,764
0,87,387,8211
4,127,540,18067
4,48,390,7459
3,39,71,249
4,53,288,2334
4,80,540,8870
4,97,176,1922
0,15,100,653
3,84,120,809
3,71,158,1403
3,77,145,1156
0,103,341,5327
0,102,291,4915
2,22,54,165
3,29,71,249
5,12,79,317
2,134,247,3373
0,20,166,1993
3,38,71,249
1,8,33,5
0,48,249,3627
4,27,193,2118
0,229,439,6991
0,47,201,1641
1,6,33,5
2,37,52,133
0,88,477,16755
0,121,88,318
4,66,273,2061
4,23,102,764
0,43,244,3461
3,39,247,2754
3,5,63,166
4,94,163,1162
4,61,273,2061
0,14,104,523
0,44,182,1753
4,15,123,621
3,49,272,3539
0,59,313,4067
0,77,157,657
2,96,33,5
2,77,483,15505
0,13,198,1418
5,110,171,1747
3,16,166,1111
4,83,540,8870
3,38,272,3539
0,313,237,4524
2,116,88,318
5,40,180,2054
4,106,209,2534
3,47,315,5844
3,90,388,6290
0,19,118,583
2,9,79,317
1,20,85,343
4,134,208,1691
4,207,388,6290
1,147,247,3373
0,97,588,23128
3,73,120,809
2,50,234,1581
0,51,120,426
2,64,473,14125
4,74,107,517
3,34,322,4619
2,19,54,165
3,5,63,166
0,22,160,805
3,28,216,2677
2,14,123,621
2,71,107,346
3,38,52,133
5,17,85,343
1,147,247,3373
4,50,93,545
2,94,449,5537
3,37,215,2188
5,120,171,1747
5,40,166,1414
2,49,51,132
5,34,188,2599
4,10,51,102
5,52,67,224
5,40,180,2054
4,22,102,764
4,78,128,693
2,77,104,457
0,84,429,10399
3,70,272,3539
4,20,111,453
2,20,88,292
0,23,123,491
4,33,182,1212
2,77,352,6744
4,29,156,654
0,36,104,316
2,20,54,165
4,124,208,1691
4,84,163,1162
0,28,154,1409
3,25,166,1414
4,44,156,654
2,9,79,292
2,20,88,292
3,59,107,346
3,54,271,4426
0,43,142,1622
0,106,467,9412
0,201,153,1021
4,103,158,1403
0,55,247,1998
2,30,234,2464
0,60,425,6080
4,21,215,2188
0,103,390,12484
5,44,196,1997
0,71,300,5834
2,36,249,3630
4,83,224,2192
4,146,540,18067
0,47,235,3794
5,43,179,1626
0,14,76,132
3,115,88,318
4,29,119,395
4,36,194,1521
2,16,79,292
0,18,116,1110
0,443,549,16588
0,33,183,1418
5,20,138,554
3,32,234,2464
2,32,234,1581
5,19,194,1521
3,82,120,809
4,45,215,2188
3,81,120,809
3,27,247,2754
2,19,88,292
3,41,234,2464
2,74,352,6744
0,86,489,8876
2,77,163,1162
0,32,125,347
2,137,217,2904
0,57,254,1816
2,84,120,809
0,37,214,1637
2,126,88,318
1,8,33,5
4,85,176,1922
2,41,52,133
2,75,104,457
4,114,462,11563
4,31,154,1252
0,29,89,451
0,79,336,6868
5,10,85,343
3,39,157,1519
0,77,104,398
4,29,71,249
0,15,115,586
4,14,72,340
0,258,465,5752
3,162,308,6057
3,40,156,1364
2,20,138,554
5,36,179,1626
0,64,109,517
0,113,475,11873
3,58,483,15505
0,56,320,3380
2,131,205,1751
4,18,102,764
3,57,107,346
2,118,88,318
4,123,208,1691
2,19,166,1111
0,42,211,1471
4,91,388,6290
4,34,247,2754
2,39,235,4905
5,40,322,4619
2,32,40,100
0,121,197,1579
0,108,509,11268
3,16,109,689
2,104,449,5537
2,9,79,317
0,183,357,6171
0,86,474,8352
0,127,437,7103
0,309,498,10985
2,33,154,587
3,141,305,2610
4,87,142,844
4,55,483,15505
0,66,457,8864
3,11,196,1885
2,99,130,490
5,92,176,1922
0,156,277,1586
4,92,163,1162
4,46,156,654
3,45,234,1581
4,18,102,764
0,23,152,1408
3,58,483,15505
4,20,102,764
3,25,188,2599
3,89,462,11563
2,9,79,317
0,163,711,20648
3,149,305,2610
5,27,194,1521
0,53,298,3296
2,70,449,5537
4,69,273,2061
2,10,79,292
3,169,308,6057
3,11,196,1885
0,69,134,1517
0,82,436,4628
4,52,93,545
0,5,95,645
4,66,223,2822
3,19,166,1111
4,44,196,1997
5,31,156,1364
0,103,159,2181
0,72,172,1468
4,32,166,1414
3,63,473,14125
1,21,85,343
3,90,120,809
0,33,114,889
3,43,223,2059
2,36,52,133
3,84,388,6290
2,27,220,3450
4,15,132,806
0,29,206,3203
1,20,54,165
2,20,54,165
3,23,220,3450
2,48,67,224
4,89,176,1922
3,39,264,3217
0,31,142,485
3,48,214,1469
4,85,176,1922
3,14,86,205
5,119,171,1747
2,79,163,1162
0,15,115,457
2,80,163,1162
0,36,179,1526
4,64,104,457
0,34,179,1631
2,30,183,931
0,143,279,3451
3,15,196,1885
2,97,130,490
3,38,234,2464
5,82,130,694
0,57,163,1113
2,18,96,804
4,32,182,1212
2,96,449,5537
3,18,96,804
4,77,101,249
2,75,352,6744
4,85,158,1403
4,64,271,4426
0,39,175,1364
3,62,254,3885
5,22,166,1414
4,57,288,2334
0,122,513,11712
4,33,194,1521
3,49,271,4426
0,133,197,2317
2,29,247,2754
0,23,115,806
3,70,224,2192
3,48,322,4619
5,35,131,271
5,31,262,3211
2,15,166,1111
1,8,33,5
0,24,164,490
4,70,101,249
0,31,181,1417
2,6,33,5
3,48,196,1997
3,48,67,224
0,39,254,4333
4,64,134,970
2,89,130,490
4,57,262,3211
0,27,141,1160
0,112,240,1164
3,33,174,1415
0,62,97,428
0,37,171,1261
3,12,111,453
5,131,362,5847
3,48,93,545
5,70,107,517
5,26,262,3211
2,131,205,1751
3,26,86,205
5,112,362,5847
3,25,166,1414
0,36,287,6283
3,30,220,3450
0,132,493,9974
1,6,33,5
3,78,120,809
2,86,128,693
4,38,174,1415
5,51,223,2822
4,44,180,2054
5,56,315,5844
0,33,254,1475
2,51,67,224
3,16,105,765
3,30,166,1111
4,26,166,1414
4,23,194,1521
0,81,283,3719
0,21,242,6497
4,17,148,729
4,65,468,9276
3,24,216,2677
5,48,483,15505
4,14,132,806
3,87,172,973
0,8,88,205
5,29,194,1521
2,76,104,457
3,35,322,4619
0,79,267,3214
2,41,483,15505
2,48,93,545
3,89,136,619
0,254,507,10839
0,195,376,6406
4,23,102,764
2,46,235,4905
4,163,109,486
0,95,243,3058
3,43,235,4905
4,143,237,2672
2,14,123,621
2,163,305,2610
4,41,216,2677
5,40,262,3211
0,318,344,7453
4,100,158,1403
3,98,537,8350
3,121,88,318
5,67,224,2192
0,97,402,7099
3,15,148,729
4,23,215,2188
3,50,51,132
2,20,54,165
0,55,352,6063
0,44,255,2530
2,75,128,693
4,39,71,249
2,10,79,317
4,41,156,654
0,37,396,5966
3,22,138,554
0,218,411,6750
3,39,234,2464
3,14,109,689
5,57,101,270
0,26,262,2980
0,53,492,6873
5,36,179,1626
4,94,176,1922
0,18,213,1875
5,4,43,161
5,29,131,271
0,49,179,1929
4,71,101,249
0,47,215,1695
0,19,181,894
3,36,215,2188
3,91,537,8350
4,70,101,249
3,31,156,1364
3,26,216,2677
4,88,120,809
5,71,107,517
0,26,151,1156
0,75,398,5739
3,69,136,619
4,92,33,5
0,44,338,8323
2,70,224,2192
4,17,102,764
0,36,200,2533
0,28,153,806
0,66,109,400
3,34,215,2188
2,20,54,165
4,19,96,804
0,8,138,1071
5,102,320,3466
5,15,96,804
2,92,537,8350
0,5,71,184
2,100,163,1162
2,9,79,292
5,40,215,2188
0,218,301,5529
3,67,223,2059
3,52,223,2059
2,20,54,165
0,112,572,10117
3,16,109,689
0,100,168,1523
3,40,234,2464
4,30,174,1415
0,60,415,12186
2,7,63,166
4,145,540,18067
0,307,487,13315
3,51,254,3885
1,16,85,343
4,77,388,6290
2,97,130,490
3,87,120,809
0,92,201,2528
3,82,128,693
0,17,155,1808
0,208,349,4074
3,25,166,1414
3,60,107,346
0,161,309,4621
0,18,124,519
4,50,93,545
0,92,128,693
3,31,247,2754
3,94,158,1403
0,46,183,1877
2,21,79,317
4,82,128,693
0,66,434,9682
0,33,316,4341
4,63,272,3539
0,53,544,9011
3,98,537,8350
0,194,257,3052
2,83,142,844
3,119,449,5537
5,32,131,271
3,13,109,689
3,31,166,1414
2,12,123,621
0,18,155,552
2,42,235,4905
3,22,216,2677
2,75,104,457
2,8,79,292
0,46,230,3702
2,26,249,3630
5,7,43,161
0,135,269,4518
0,60,101,270
2,24,249,3630
3,27,188,2599
3,39,52,133
0,13,145,1251
0,60,258,3382
3,26,96,804
3,84,540,8870
3,92,120,809
4,76,159,2181
3,43,51,132
3,95,120,809
2,20,54,165
2,59,473,14125
0,38,332,7951
4,68,273,2061
3,77,388,6290
3,39,215,2188
4,36,247,2754
4,53,223,2822
0,33,186,1262
2,16,79,292
0,85,191,1024
0,114,633,18851
0,87,426,10536
3,59,223,2059
3,20,220,3450
0,41,245,3058
0,15,189,2122
3,89,537,8350
3,79,142,844
3,22,216,2677
4,52,214,1469
5,66,224,2192
5,23,154,1252
1,6,33,5
5,95,176,1922
0,37,310,5121
0,22,136,1016
0,10,116,725
0,152,364,6072
2,39,52,133
4,24,216,2677
5,114,205,1751
4,29,193,2118
3,43,166,1111
0,32,78,367
3,166,308,6057
0,11,110,315
2,42,224,2192
0,36,496,18065
5,44,67,224
2,73,104,457
0,72,220,1642
5,77,158,1403
3,22,216,2677
5,27,188,2599
2,21,96,804
3,59,272,3539
5,165,109,486
3,21,215,2188
0,32,339,4068
2,90,139,587
4,31,220,3450
0,53,281,1122
1,14,88,292
3,141,305,2610
3,41,235,4905
5,51,288,2334
3,38,223,2059
0,27,110,765
4,46,223,2822
5,27,166,1414
0,159,710,23788
0,55,152,1409
4,40,174,1415
0,92,156,1744
0,138,530,10552
4,39,71,249
0,21,171,1521
3,32,157,1519
5,54,390,7459
4,16,109,689
0,44,272,4714
0,62,431,8473
5,74,468,9276
4,64,145,1156
2,39,234,1581
5,45,156,1364
5,73,320,3466
4,128,208,1691
3,93,403,6746
5,42,262,3211
0,37,105,514
4,46,224,2192
3,116,462,11563
0,19,163,694
3,10,79,317
2,104,163,1162
0,60,192,1524
3,81,128,693
2,99,130,490
0,167,879,32301
5,3,43,161
2,78,449,5537
4,88,176,1922
4,59,136,619
3,53,223,2059
2,38,52,133
4,90,120,809
0,235,920,22322
4,54,254,3885
0,32,160,2251
0,93,357,3383
0,44,295,3631
0,104,469,12347
0,43,311,6067
0,97,309,2468
0,15,106,552
3,19,54,165
2,80,128,693
3,40,166,1111
2,20,54,165
2,96,33,5
0,37,315,3975
1,6,33,5
4,25,194,1521
2,14,88,292
0,27,210,1635
3,70,271,4426
3,37,272,3539
3,31,272,3539
3,34,272,3539
2,121,88,318
3,18,138,554
0,105,452,5433
5,42,196,1997
3,80,352,6744
3,31,157,1519
2,23,216,2677
4,47,93,545
5,36,219,1875
0,31,69,90
4,70,136,619
0,89,167,1206
2,27,234,2464
2,24,249,3630
5,28,262,3211
1,15,85,343
1,144,247,3373
4,24,174,1415
0,236,309,5850
0,81,108,643
5,100,388,6290
4,47,67,224
5,63,320,3466
3,19,72,340
2,64,223,2059
2,25,96,804
5,87,136,619
1,6,33,5
5,51,294,4249
0,105,352,4825
0,66,309,4247
2,126,88,318
4,96,33,5
3,41,71,249
0,82,196,1413
4,83,172,973
3,54,483,15505
0,47,164,768
3,113,205,1751
3,29,234,1581
3,15,109,689
0,20,114,654
4,40,156,654
0,10,119,931
0,45,270,3146
1,6,33,5
0,50,228,2608
4,70,101,249
0,55,187,2596
4,60,271,4426
0,10,61,148
3,94,136,619
3,28,71,249
2,73,104,457
4,34,132,806
4,13,79,292
4,68,468,9276
2,28,138,554
0,80,129,585
4,80,176,1922
1,29,85,343
0,126,280,5218
4,68,101,249
3,90,120,809
2,73,224,2192
0,1,74,267
2,9,79,317
0,32,217,1581
4,113,163,1162
4,122,540,18067
4,143,540,18067
1,6,33,5
0,23,132,397
5,109,208,1691
3,62,473,14125
0,100,243,2675
1,8,33,5
0,52,335,2003
2,8,79,317
1,22,249,3630
2,76,352,6744
5,124,171,1747
4,75,134,970
0,24,184,2320
2,11,79,317
3,54,390,7459
3,15,196,1885
3,136,362,5847
5,141,109,486
3,37,156,1364
4,137,540,18067
0,4,146,1412
4,17,220,3450
3,27,193,2118
0,56,127,550
5,80,145,1156
0,48,243,2538
4,45,93,545
5,32,52,133
4,79,128,693
0,119,597,14476
3,16,109,689
4,44,154,587
2,19,138,554
0,92,144,1305
4,143,540,18067
2,16,79,317
0,54,104,429
3,91,176,1922
3,107,537,8350
3,15,193,2118
3,23,247,2754
0,57,269,2331
3,57,483,15505
4,36,156,654
3,62,223,2059
0,91,407,7468
5,111,171,1747
0,62,533,20414
3,19,196,1885
0,31,179,1523
2,14,123,621
0,66,207,812
5,122,171,1747
5,111,294,4249
2,16,88,292
0,133,523,11432
0,111,255,2391
3,82,128,693
0,140,459,11412
4,73,101,249
0,12,109,401
3,8,63,166
4,77,540,8870
4,27,174,1415
4,89,163,1162
0,6,72,243
2,30,40,100
3,15,109,689
0,18,134,808
0,31,250,1817
4,37,215,2188
0,32,230,1937
1,21,85,343
2,20,249,3630
0,59,298,6283
3,123,88,318
5,61,468,9276
4,10,33,5
5,41,180,2054
5,22,51,102
2,38,154,587
0,23,159,1159
0,83,128,848
3,48,272,3539
0,182,459,14984
0,23,162,769
0,111,541,6647
4,15,132,806
0,65,93,248
4,26,193,2118
5,53,288,2334
4,62,473,14125
5,67,468,9276
4,45,262,3211
3,16,220,3450
0,94,246,1877
4,35,196,1997
4,90,388,6290
5,62,108,318
4,30,52,133
2,51,235,4905
3,93,136,619
0,136,500,12495
0,146,242,1586
4,45,88,292
5,30,166,1414
5,37,166,1414
0,43,195,1692
0,17,160,732
2,50,93,545
2,10,79,292
3,45,272,3539
4,76,540,8870
0,20,254,3618
3,50,235,4905
2,29,249,3630
0,82,130,929
5,105,171,1747
4,74,172,973
4,68,273,2061
3,64,254,3885
2,23,249,3630
4,16,86,205
4,30,149,549
4,122,540,18067
5,82,136,619
0,66,328,5736
0,67,194,975
1,23,85,343
2,50,93,545
5,38,180,2054
0,295,451,11274
5,12,43,161
2,35,234,1581
2,25,249,3630
3,14,109,689
3,12,79,317
0,272,95,429
3,60,540,8870
3,93,537,8350
5,78,468,9276
2,75,104,457
2,60,271,4426
0,244,295,3978
0,147,381,4924
3,34,154,587
1,145,247,3373
1,21,85,343
3,16,123,621
5,110,208,1691
0,46,219,1313
1,23,85,343
3,85,172,973
4,43,193,2118
0,20,120,251
4,39,234,2464
2,67,473,14125
3,38,272,3539
0,28,103,151
2,50,51,132
3,32,166,1414
3,41,235,4905
4,15,82,185
4,141,540,18067
4,35,234,2464
0,108,584,15863
4,143,540,18067
4,37,196,1997
3,74,176,1922
3,47,254,3885
0,9,80,395
4,26,71,249
3,89,172,973
1,8,33,5
2,61,473,14125
5,49,262,3211
2,15,96,804
1,21,85,343
4,41,235,4905
0,34,184,1415
4,8,33,5
5,121,171,1747
3,52,93,545
0,61,437,9683
3,67,104,457
0,58,399,7458
3,7,63,166
3,82,128,693
2,44,234,1581
2,73,104,457
4,71,101,249
0,34,106,295
0,59,317,5217
1,18,88,292
2,99,130,490
5,72,468,9276
1,24,85,343
2,70,449,5537
2,20,249,3630
0,8,76,247
3,16,196,1885
0,31,280,3713
0,93,524,12196
2,75,104,457
3,82,128,693
2,47,67,224
0,79,317,3382
2,75,104,457
3,12,148,729
0,32,182,1633
0,44,247,2463
2,70,104,457
2,95,130,490
2,20,54,165
4,39,157,1519
4,33,179,1626
4,15,132,806
4,27,156,1364
4,70,101,249
0,177,533,12198
1,21,85,343
1,6,33,5
3,121,88,318
4,20,138,554
5,71,223,2822
4,38,156,1364
2,71,104,457
2,16,138,554
0,12,87,485
3,53,223,2059
4,55,273,2061
4,70,107,517
2,146,305,2610
2,18,96,804
5,52,262,3211
0,44,335,7581
1,21,85,343
2,11,196,1885
0,122,688,17715
5,41,262,3211
2,20,54,165
4,15,132,806
1,24,85,343
4,31,132,806
4,30,193,2118
5,43,188,2599
3,47,254,3885
0,81,351,4913
4,38,102,516
4,182,362,5847
0,26,218,3707
5,39,51,102
5,47,180,2054
4,32,174,1415
4,116,163,1162
0,114,728,33059
0,57,290,3544
0,103,499,7348
2,84,449,5537
4,82,172,973
2,61,271,4426
3,89,537,8350
0,66,205,2124
2,34,188,2599
4,36,315,5844
2,99,130,490
2,20,54,165
3,27,157,1519
0,51,121,931
0,9,112,549
0,49,240,1582
2,52,93,545
4,23,102,764
0,24,172,894
3,42,234,2464
3,12,123,621
0,252,513,8096
0,40,129,456
3,37,234,2464
4,92,388,6290
0,122,227,1696
2,48,51,132
0,16,161,807
3,13,109,689
3,27,247,2754
3,28,216,2677
0,56,314,4531
0,36,146,974
3,57,272,3539
5,32,108,428
4,76,172,973
3,98,537,8350
0,56,318,3630
2,94,130,490
4,18,193,2118
4,158,281,4061
3,22,157,1519
2,50,51,132
2,35,234,1581
3,31,247,2754
5,74,320,3466
3,50,271,4426
5,45,223,2822
0,105,263,3463
0,38,307,3387
5,38,194,1521
0,95,172,1518
4,155,540,18067
0,109,169,1803
0,321,431,15329
4,25,194,1521
0,79,336,3138
5,37,179,1626
0,216,360,5741
2,41,52,133
4,60,272,3539
2,9,79,292
2,16,88,292
3,82,120,809
3,92,136,619
4,21,72,340
5,98,462,11563
4,64,254,3885
5,124,171,1747
3,15,193,2118
4,155,308,6057
2,132,247,3373
3,41,315,5844
3,80,388,6290
4,10,166,1111
5,141,308,6057
0,62,542,16953
2,52,234,1581
0,191,457,16028
5,47,193,2118
3,47,234,2464
2,125,217,2904
4,49,483,15505
4,94,176,1922
5,32,179,1626
0,44,235,1420
2,45,234,1581
5,40,182,1212
4,15,63,166
0,149,214,2321
4,28,156,1364
0,47,311,2838
0,86,192,2189
3,22,166,1414
4,34,71,249
4,64,273,2061
4,74,134,970
4,91,158,1403
4,50,272,3539
3,5,63,166
3,25,193,2118
4,78,215,2188
3,5,63,166
3,17,196,1885
4,11,82,185
0,59,127,653
4,23,174,1415
1,35,183,931
2,87,120,809
4,69,273,2061
4,163,308,6057
2,60,473,14125
4,41,224,2192
2,72,104,457
2,18,96,804
0,14,105,427
0,28,215,2188
3,90,120,809
4,37,188,2599
3,25,220,3450
4,90,388,6290
0,10,125,807
4,27,193,2118
4,67,473,14125
4,92,33,5
4,29,131,271
5,26,131,271
0,52,347,6860
2,51,67,224
2,101,305,2610
